Genus	P60	P14	P54	P86	P68	P05	P15	P16	P52	P44	P58	P42	P85	P41	P19	P43	P62	P33	P76	P73	P61	P20	P26	P37	P69	P25	P50	P83	P56	P79	P57	P66	P78	P81	P80	P72	P49	P67	P46	P82	P75
Porphyromonas	3.5941820667087e-06	8.23494377530436e-06	1.55007614169077e-06	1.07006741502537e-06	1.76407122516976e-06	0.000372925874403511	2.80944393890353e-05	7.93721992742391e-06	1.64541610544028e-06	3.02005145701604e-06	2.70944238960476e-06	1.3262742824331e-05	2.88421922049021e-06	1.24937464196801e-05	1.2285472007826e-06	0.000223397593245331	3.74052471771394e-05	7.57133222197805e-06	6.27367614872413e-06	3.44207026733257e-05	0.000158429268971428	6.77774224363131e-05	2.42829212497749e-06	1.93257738915525e-05	7.82737638134195e-06	7.17403382962114e-05	8.51006173614428e-06	7.97944748397675e-06	1.70919141304582e-05	5.10912476977532e-06	2.90885100657906e-07	1.36837380994263e-06	6.00557955314663e-05	7.43512565504567e-05	9.07239607811314e-06	3.89091505005915e-06	0.000265908813363362	0.000202264013213233	3.93023137952965e-06	0.000291271805423847	1.6674972928669e-05
Prevotella	0.00139084034505764	0.190131432106528	0.00338538522109503	0.000978179812930497	0.00113174993493125	0.33000854831753	0.000997754296914766	0.0160064286133119	0.182326078734852	0.00113241778846377	0.111794519217598	0.00134900151032397	0.16228237058795	0.00169503955983557	0.453306824146273	0.328053590774581	0.0411741180415523	0.116807278069485	0.192043715694594	0.000853488587292314	0.00214139072887284	0.00118902148273492	0.00162062240459448	0.000732687419282244	0.304626444634219	0.150399259454025	0.000986694205964233	0.155465090314258	0.00107734450334137	0.00115984561625712	0.0012503186770292	0.386812118738205	0.00243088053680207	0.00133381472279378	0.00137099564915451	0.00941001143949108	0.238217168866627	0.000948587790759594	0.00193650802264426	0.229887595608417	0.000698802229804184
Propionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	7.47877956898626e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7067856232513e-07	0	0	0	0	0	0	0	0	0	0	0
Proteus	2.14290249463888e-06	4.6627435404236e-07	0	0	2.14478151048163e-07	5.79001594463395e-08	8.82702212953616e-08	3.66984097557183e-07	0	3.16580469516172e-08	2.89235663439271e-08	3.62836756771336e-07	0	4.17953026557179e-07	0	8.72663503787631e-07	1.84530914526775e-08	1.50702197279026e-07	5.83366397019777e-06	4.25886199960559e-07	5.55916726257598e-07	0	5.60015938766789e-08	3.48639378873484e-07	5.19827980263308e-07	0.000387283802820637	2.06117317179483e-07	9.66490070679255e-08	0	1.91960128176045e-08	5.90585674027012e-07	0	2.4510290375024e-07	3.2226197356476e-06	5.91011832367463e-07	1.35064423758063e-07	1.84825740034818e-07	3.76405150647682e-07	1.57352931982182e-06	1.40488600343316e-06	5.05362923421882e-08
Providencia	4.19218324954123e-06	1.78451691243503e-06	3.35309206962447e-08	0	0	5.4438669480128e-07	4.33446860703776e-07	1.05071129708386e-06	9.61697150939564e-08	0	1.03637675481855e-06	4.58574130661643e-07	1.787388191174e-07	1.5937991061912e-06	0	4.71223737365488e-07	1.77948232780498e-06	0	3.02068033278111e-07	1.1439271725225e-06	1.56448242701394e-06	1.27368792955265e-07	0	5.11698209558741e-07	5.09671660809317e-06	1.30539128368195e-06	4.78642355607252e-07	1.76644801032492e-07	3.41784231419907e-08	1.14619298603033e-06	2.49589720197273e-06	3.02459838903536e-07	8.15062257394438e-07	4.18806055296358e-07	1.6406716982973e-06	7.91122682338504e-07	3.76458588513306e-07	1.33984740433512e-07	2.73287599774059e-06	4.20846465968929e-06	0
Pseudoflavonifractor	9.61101704651582e-05	0.000200463102074416	0.000433381965531941	0.000155001070924773	0.000202627424242209	0.000164425881193708	0.000215327323454097	6.73843660920258e-05	0.000249216332429385	0.000398129172903113	0.000632389311715394	0.00028830963882036	0.000213784551152385	0.000400671703683749	7.86840007012327e-05	9.83983589237424e-05	0.000924996881426581	0.000780576226877895	0.000408629703315596	9.40934678747922e-05	0.000340642048576534	0.000223964371166324	8.82897717003953e-05	0.000596237604636133	0.000218012828502364	0.000149993986884072	0.000625669874814069	0.000157344166846262	0.000297536373251718	0.000459062621598361	4.88821336439297e-05	9.67380394274889e-05	0.000696777170038839	0.000286177960780698	0.000567070978486978	0.00113501162504497	0.000335057569431034	0.000406840389527099	0.000250713203265925	0.000316844244245481	0.000828976936516423
Pseudogulbenkiania	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	3.19412822708302e-05	5.90485384803605e-07	0	0	0	3.70825568465424e-07	1.72783815401005e-06	5.15865474212928e-06	0	4.92184496979417e-07	1.94883133796595e-06	4.55735977022854e-06	9.32099706859753e-07	1.85597705406289e-06	0	2.39946468868188e-07	0	6.47207344129813e-08	4.49381116749218e-07	8.2412238417963e-07	0	0	0	2.18514181599457e-08	5.51082625288409e-06	2.84722963439077e-08	0	3.4782085436097e-07	2.31784708664075e-08	5.90910118964087e-07	0	0	1.58949616578841e-07	8.54454672394497e-08	3.49980881900541e-07	8.50730461333252e-07	0	2.2339731251711e-07	3.70252965789489e-06	5.33160489355758e-06	0
Pseudoramibacter	0	0	0	0	2.53154538942094e-07	0	0	0	0	3.23792448440132e-07	2.09390325363078e-07	2.18331919819191e-07	1.99381894001382e-06	0	0	0	5.20334264799337e-07	9.31301265535632e-07	8.70452556724239e-08	0	0	0	0	1.06669523884664e-06	6.14441775591823e-07	0	8.75655782351251e-08	0	0	0	1.86073061893657e-07	0	2.40757992853839e-07	0	0	2.19672184851309e-07	0	0	4.5864852494928e-07	8.40628114644857e-08	2.54862982436897e-07
Pusillimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.79927540478062e-08	0	0	0	0	0	0	5.00584247535448e-06	0	0	0	0	0	0	0	0	0	0
Pyramidobacter	7.97412189835357e-06	3.61682160241395e-08	6.83294995991065e-06	3.59167576842089e-07	0	5.26779247623931e-06	2.42993142027915e-06	1.45325479547071e-05	0	0	1.75404060110235e-07	0	0	5.32251828682156e-06	1.04346390674423e-07	0	1.93358782351359e-06	9.99236162504875e-05	0	2.15410880493064e-07	8.54418797459664e-05	0	0	4.22379446097847e-07	7.30323355079064e-05	0.000131421538732569	0	2.05981166520745e-05	0.000102592420969396	0	1.38428010329488e-07	0	4.25404942913714e-07	0.000537706229689032	0.000462561851250147	1.21635786291829e-07	6.08261642369223e-06	8.89637908160506e-06	0	1.51847921358894e-05	3.84567515564311e-07
Rahnella	1.29566734346975e-06	0	0	0	0	2.36120087543881e-07	4.21343401394607e-07	5.41616506579593e-07	1.26753716057426e-07	0	3.24974586303107e-06	0	0	2.38453841329997e-07	0	3.64630924000479e-07	0	0	0	3.70238603578931e-08	5.30731929159691e-07	3.03619101505376e-08	1.01281938327404e-07	0	1.23972146953434e-06	3.60053254214439e-08	0	1.36630682401852e-07	0	1.64980219998058e-07	0	0	0	0	0	0	0	4.361463211285e-07	8.54324958267655e-06	6.07077788663346e-07	0
Ralstonia	2.72773399864299e-06	0	0	0	0	0	2.12300503201849e-07	6.45452703539355e-07	0	0	2.35979573028231e-07	0	0	0	0	1.04912330384144e-07	0	0	0	0	0	0	0	0	1.27486218745242e-07	0	0	0	0	1.05556306309956e-07	0	0	0	0	0	0	0	0	0	4.91796039860257e-07	0
Ramlibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rheinheimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57015796308255e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodopseudomonas	0	0	0	0	0	0	0	0	0	0	0	2.29652834180187e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18950926947881e-07	3.34695099032034e-07	0	0	0	0	0	0	0	2.26941103510111e-07	0	0	0	0	0	0
Rhodospirillum	0	0	0	0	0	0	0	0	6.05228073657966e-07	1.95266833597575e-06	5.94668524031142e-07	0	0	0	0	0	2.98324978484953e-07	3.20367635344257e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rickettsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Riemerella	4.12315576144492e-08	8.05184449277759e-08	4.06853330813046e-08	3.97023285455266e-08	0	0	0	0	0	0	4.20395486140268e-07	0	0	0	1.0840579610426e-06	2.37873201539371e-07	0	1.12304616269312e-07	6.15806024705683e-07	0	0	8.03927183934544e-08	0	0	0	0	0	2.04396986765093e-07	2.07354957879429e-07	3.98888869603177e-08	0	2.35161826478721e-07	3.89916543696448e-08	0	0	4.00944090602647e-08	0	0	0	3.71691608531916e-08	0
