"Type","Block","Num","Pvalue","Enrichment","ET_B_occurence","ET_P_occurence","median","ET_B_median","ET_P_median","FDR"
"Enterococcus_faecium","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0441267028652082,"ET_P",1,1,5.43170332472973e-05,"4.3624745790502e-05","7.42142824083781e-05",0.202247388132204
"Bifidobacterium_longum","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.570399226011073,"ET_B",1,1,5.58072935055995e-05,"6.01242479838521e-05","3.99920822576195e-05",0.865787960246995
"Pseudoflavonifractor_capillosus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.750468066643498,"ET_P",1,1,5.69673888461042e-05,"4.64746417765111e-05","6.37424815500347e-05",0.94194783432012
"unclassified_Clostridiales_bacterium_1_7_47FAA","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.00232726006188545,"ET_B",1,1,6.42155239222192e-05,"7.0207803299434e-05","3.31514699849516e-05",0.02133321723395
"Prevotella_disiens","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.310804070658409,"ET_B",1,1,7.18058175661295e-05,"8.45870134286423e-05","6.44106289463971e-05",0.674771995508388
"Clostridium_leptum","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.771551116478816,"ET_P",1,1,7.81846557069525e-05,"7.79201018719299e-05","8.2137238916319e-05",0.94194783432012
"Coprococcus_eutactus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.0331475217284473,"ET_P",1,1,8.37154985794673e-05,"5.19632544658194e-05","0.000218977463668796",0.173022853577396
"Eubacterium_hallii","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.857390396689518,"ET_B",1,1,8.90397322029262e-05,"9.13922291952579e-05","6.617547132273e-05",0.94194783432012
"Streptococcus_salivarius","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.462791900749742,"ET_P",1,1,8.9859666718148e-05,"7.87359118536309e-05","0.00010617802502026",0.80379645919692
"Prevotella_bivia","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",5.18783222798701e-06,"ET_P",1,1,9.06000176433466e-05,"2.45897866769326e-05","0.000569172725144539",0.000285330772539286
"Butyrivibrio_crossotus","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.668072053576503,"ET_B",1,1,9.06041598666725e-05,"9.3046421679666e-05","9.06041598666725e-05",0.896194218212382
"Blautia_hydrogenotrophica","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.688353475444303,"ET_P",1,1,9.68538465648931e-05,"9.41530246564883e-05","9.68538465648931e-05",0.906675622678677
"Eubacterium_siraeum","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.792799768093627,"ET_B",1,1,9.97777758842245e-05,"9.99517255589243e-05","9.18851912851981e-05",0.94194783432012
"unclassified_Ruminococcaceae_bacterium_D16","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.589397754687143,"ET_P",1,1,0.000109577672475267,"0.000106129641279483","0.000109577672475267",0.865787960246995
"Haemophilus_parainfluenzae","Before ET_B_vs_ET_P","ET_B28_vs_ET_P13",0.159035822589364,"ET_P",1,1,0.000110454947555499,"6.75262357075631e-05","0.000301032484917829",0.466927758047729
